Films;Note Globale
Krampus;3.0
Kung Fu Nanny;2.0
Kung Fu Panda 3;3.4
L'Abominable vérité;2.5
L'Affaire Marcorelle;3.3
L'Age d'homme... maintenant ou jamais;2.1
L'Agence tous risques;3.2
L'Air de rien;3.6
L'Amour a ses raisons;1.4
L'Amour aux trousses;2.5
L'Amour c'est mieux à deux;2.3
L'Amour de l'or;1.5
L'Amour dure trois ans;3.1
L'Amour extra large;3.0
L'Amour sans préavis;2.9
L'Amour, six pieds sous terre;2.9
L'Américain;2.1
L'An 1 : des débuts difficiles;2.3
L'Anniversaire;2.2
L'Anniversaire de Leïla;3.4
L'Antidote;2.9
L'Apprenti Père Noël;2.9
L'Argent de la vieille;5.0
L'Arnacoeur;4.0
L'Arriviste;3.1
L'Art (délicat) de la séduction;2.5
L'Art d'aimer;3.2
L'Art de la pensée négative;3.7
L'Art de séduire;2.5
L'Artiste;3.6
L'Ascension;3.6
L'Auberge Espagnole;3.6
L'Avion;3.0
L'Ecole des dragueurs;1.6
L'Ecole pour tous;2.0
L'Effet Aquatique;3.9
L'Elève Ducobu;2.1
L'Embarras Du Choix;2.8
L'Emmerdeur;1.6
L'Entente cordiale;1.2
L'Escorte;2.0
L'Etudiante et Monsieur Henri;3.4
L'Eté des poissons volants;3.5
L'Eventail de Lady Windermere;5.0
L'Ex de ma vie;2.5
L'Ex femme de ma vie;3.0
L'Extraterrestre;2.6
L'Homme de ma vie;2.2
L'Homme sans passé;4.8
L'Iceberg;3.9
L'Idéal;2.6
L'Ile de Nim;2.8
L'Incroyable destin de Harold Crick;3.2
L'Incruste, fallait pas le laisser entrer !;2.8
L'Invitation;2.8
L'Irlandais;3.4
L'Italien;3.1
L'Oncle Charles;1.4
L'Oncle de Brooklyn;4.0
L'Orpheline avec en plus un bras en moins;2.1
L'auberge rouge;2.0
L'enquête Corse;3.0
L'un dans l'autre;1.9
L'Âge de glace;4.1
L'Âge de glace : La dérive des continents;3.3
L'Élan;1.8
L'Étrange pouvoir de Norman;3.8
L'Île aux trésors;1.4
L'éveil D'Edoardo;3.1
L'île des Miam-nimaux : Tempête de boulettes géantes 2;2.9
LOL (Laughing Out Loud) ®;3.2
LOL USA;1.5
La Bande des Jotas;1.8
La Bataille géante de boules de neige;2.5
La Beuze;2.7
La Blonde contre-attaque;2.2
La Bostella;3.1
La Boîte;2.3
La Bûche;3.3
La Cage Dorée;3.5
La Cerise sur le gâteau;2.1
La Chance de ma vie;3.1
La Cigale, le corbeau et les poulets;3.0
La Clinique de l'amour !;3.4
La Cloche a sonné;2.5
La Coccinelle revient;2.7
La Colle;1.9
La Corne d'abondance;3.2
La Coupe;3.9
La Différence, c'est que c'est pas pareil;2.6
La Dilettante;3.4
La Dream Team;2.8
La Débandade;2.9
La Délicatesse;2.5
La Fabuleuse Gilly Hopkins;2.7
La Famille Bélier;3.7
La Famille Foldingue;2.8
La Famille Jones;2.7
La Famille Tenenbaum;3.6
La Femme invisible;2.9
La Ferme en folie;2.9
La Ferme, une comedie bio;2.1
La Fiancée de Chucky;3.0
La Fine équipe;3.2
La Folle Histoire de Max et Léon;3.2
La Folle histoire d'amour de Simon Eskenazy;2.6
La Fée;3.6
La Fête des voisins;1.2
La Grande Bellezza;3.4
La Grande aventure de Maya l'abeille;3.0
La Grande boucle;2.4
La Grande course au fromage;3.4
La Grande finale;2.7
La Grande vie;2.8
La Guerre des miss;1.7
La Gueule que tu mérites;2.9
La Jouissance des hysteriques;2.4
La Jungle;2.4
La Loi de Murphy;1.8
La Loi de la jungle;3.6
La Légende de Despereaux;2.8
La Légende de Kaspar Hauser;2.5
La Légende de Manolo;3.6
La Main au collier;2.6
La Maison du bonheur;2.9
La Merveilleuse odyssée de l'idiot toboggan;2.6
La Moitie Gauche du Frigo;3.6
La Morsure du lézard;3.0
La Mujer Sin Piano;3.5
La Muse;2.9
La Nana (la bonne);3.6
La Nostra Vita;3.0
La Nouvelle Eve;3.9
La Nouvelle guerre des boutons;2.4
La Nouvelle vie de Paul Sneijder;3.7
La Nuit au musée;3.0
La Nuit au musée 2;3.0
La Nuit au musée : Le Secret des Pharaons;2.8
La Panthère Rose;2.3
La Panthère Rose 2;2.5
La Parade;2.6
La Patinoire;3.8
La Peau de Bax;3.5
La Personne aux deux personnes;3.0
La Planque;2.3
La Plus belle victoire;2.8
La Première fois que j'ai eu 20 ans;3.0
La Première étoile;3.1
La Proposition;2.5
La Prunelle de mes yeux;2.2
La Revanche d'une blonde;3.3
La Ritournelle;3.4
La Rumeur court...;2.4
La Rupture;2.1
La Science des rêves;3.9
La Secrétaire;3.7
La Stratégie de la poussette;1.9
La Tentation de Jessica;3.6
La Tour 2 Contrôle Infernale;3.1
La Tour Montparnasse infernale;2.9
La Traversée du temps;3.8
La Très très grande entreprise;3.3
La Tête ailleurs;3.0
La Tête en friche;3.1
La Vache et le Président;3.3
La Valse des gros derrières;3.0
La Vie aquatique;3.8
La Vie d'artiste;2.9
La Vie de Michel Muller est plus belle que la vôtre;2.4
